"","Eye","Loc","ID","Side","Angle","IOP"
"241",7,"U",7,"L",45,16.9
"242",8,"T",8,"L",45,18.3
"243",9,"T",9,"L",45,NA
"244",10,"T",10,"L",45,19.3
"245",11,"T",11,"L",45,21.5
"246",12,"T",12,"L",45,17.6
"247",13,"T",13,"L",45,29.6
"248",14,"U",1,"R",45,17.8
"249",15,"U",2,"R",45,17.1
"250",16,"U",3,"R",45,14.8
"251",17,"U",4,"R",45,18.8
"252",18,"U",5,"R",45,15.4
"253",19,"U",6,"R",45,16.2
"254",20,"U",7,"R",45,16.8
"255",21,"T",8,"R",45,15
"256",22,"T",9,"R",45,16.2
"257",23,"T",10,"R",45,17.3
"258",24,"T",11,"R",45,17.7
"259",25,"T",12,"R",45,22.02
"260",26,"T",13,"R",45,22.2
"261",1,"U",1,"L",90,15
"262",2,"U",2,"L",90,13.5
"263",3,"U",3,"L",90,13
"264",4,"U",4,"L",90,18.6
"265",5,"U",5,"L",90,15.3
"266",6,"U",6,"L",90,17
"267",7,"U",7,"L",90,18.4
"268",8,"T",8,"L",90,12.6
"269",9,"T",9,"L",90,NA
"270",10,"T",10,"L",90,17.1
"271",11,"T",11,"L",90,19
"272",12,"T",12,"L",90,16.2
"273",13,"T",13,"L",90,16.9
"274",14,"U",1,"R",90,17
"275",15,"U",2,"R",90,16.4
"276",16,"U",3,"R",90,12
"277",17,"U",4,"R",90,16.6
"278",18,"U",5,"R",90,15.5
"279",19,"U",6,"R",90,18.2
"280",20,"U",7,"R",90,16.2
"281",21,"T",8,"R",90,12
"282",22,"T",9,"R",90,11.2
"283",23,"T",10,"R",90,18.4
"284",24,"T",11,"R",90,16
"285",25,"T",12,"R",90,18
"286",26,"T",13,"R",90,17
"287",1,"U",1,"L",135,21
"288",2,"U",2,"L",135,19.2
"289",3,"U",3,"L",135,13.5
"290",4,"U",4,"L",135,18.5
"291",5,"U",5,"L",135,16.2
"292",6,"U",6,"L",135,18.5
"293",7,"U",7,"L",135,15.5
"294",8,"T",8,"L",135,14.8
"295",9,"T",9,"L",135,12.2
"296",10,"T",10,"L",135,20.9
"297",11,"T",11,"L",135,17.7
"298",12,"T",12,"L",135,18.7
"299",13,"T",13,"L",135,26.8
"300",14,"U",1,"R",135,20.9
"301",15,"U",2,"R",135,21.1
"302",16,"U",3,"R",135,14.8
"303",17,"U",4,"R",135,20.6
"304",18,"U",5,"R",135,15.8
"305",19,"U",6,"R",135,19.9
"306",20,"U",7,"R",135,19.7
"307",21,"T",8,"R",135,14
"308",22,"T",9,"R",135,14.8
"309",23,"T",10,"R",135,18.8
"310",24,"T",11,"R",135,15.7
"311",25,"T",12,"R",135,16.9
"312",26,"T",13,"R",135,20.7
"313",1,"U",1,"L",150,23
"314",2,"U",2,"L",150,17.1
"315",3,"U",3,"L",150,17.5
"316",4,"U",4,"L",150,19.9
"317",5,"U",5,"L",150,17.4
"318",6,"U",6,"L",150,22.8
"319",7,"U",7,"L",150,22.8
"320",8,"T",8,"L",150,17.5
"321",9,"T",9,"L",150,12.8
"322",10,"T",10,"L",150,20.5
"323",11,"T",11,"L",150,20.7
"324",12,"T",12,"L",150,20.7
"325",13,"T",13,"L",150,20.1
"326",14,"U",1,"R",150,20.9
"327",15,"U",2,"R",150,21.3
"328",16,"U",3,"R",150,15.4
"329",17,"U",4,"R",150,20.4
"330",18,"U",5,"R",150,16.6
"331",19,"U",6,"R",150,25.7
"332",20,"U",7,"R",150,20.8
"333",21,"T",8,"R",150,12.4
"334",22,"T",9,"R",150,15.4
"335",23,"T",10,"R",150,19.7
"336",24,"T",11,"R",150,20.4
"337",25,"T",12,"R",150,18.3
"338",26,"T",13,"R",150,24.4
"339",1,"U",1,"L",165,21
"340",2,"U",2,"L",165,20
"341",3,"U",3,"L",165,15.5
"342",4,"U",4,"L",165,21.6
"343",5,"U",5,"L",165,16.8
"344",6,"U",6,"L",165,21.3
"345",7,"U",7,"L",165,25.7
"346",8,"T",8,"L",165,17
"347",9,"T",9,"L",165,13.4
"348",10,"T",10,"L",165,18.4
"349",11,"T",11,"L",165,27.5
"350",12,"T",12,"L",165,18.8
"351",13,"T",13,"L",165,18.7
"352",14,"U",1,"R",165,21.8
"353",15,"U",2,"R",165,19.1
"354",16,"U",3,"R",165,13.9
"355",17,"U",4,"R",165,19.8
"356",18,"U",5,"R",165,15.6
"357",19,"U",6,"R",165,21.1
"358",20,"U",7,"R",165,19.5
"359",21,"T",8,"R",165,13.5
"360",22,"T",9,"R",165,15.9
"361",23,"T",10,"R",165,23.1
"362",24,"T",11,"R",165,27
"363",25,"T",12,"R",165,22.1
"364",26,"T",13,"R",165,22.2
"365",1,"U",1,"L",180,17.9
"366",2,"U",2,"L",180,23.8
"367",3,"U",3,"L",180,17.4
"368",4,"U",4,"L",180,20.1
"369",5,"U",5,"L",180,18.4
"370",6,"U",6,"L",180,25.6
"371",7,"U",7,"L",180,26.6
"372",8,"T",8,"L",180,24.5
"373",9,"T",9,"L",180,18
"374",10,"T",10,"L",180,24.9
"375",11,"T",11,"L",180,28
"376",12,"T",12,"L",180,23.7
"377",13,"T",13,"L",180,32.1
"378",14,"U",1,"R",180,17.3
"379",15,"U",2,"R",180,21.8
"380",16,"U",3,"R",180,15.5
"381",17,"U",4,"R",180,22.8
"382",18,"U",5,"R",180,18.5
"383",19,"U",6,"R",180,27.4
"384",20,"U",7,"R",180,23.8
"385",21,"T",8,"R",180,17
"386",22,"T",9,"R",180,17.5
"387",23,"T",10,"R",180,24.8
"388",24,"T",11,"R",180,26.2
"389",25,"T",12,"R",180,23.8
"390",26,"T",13,"R",180,27
"391",1,"U",1,"L",195,25.7
"392",2,"U",2,"L",195,24.8
"393",3,"U",3,"L",195,18.6
"394",4,"U",4,"L",195,22.8
"395",5,"U",5,"L",195,20.4
"396",6,"U",6,"L",195,25.5
"397",7,"U",7,"L",195,31.1
"398",8,"T",8,"L",195,24.4
"399",9,"T",9,"L",195,20.4
"400",10,"T",10,"L",195,27.7
"401",11,"T",11,"L",195,28.5
"402",12,"T",12,"L",195,26.9
"403",13,"T",13,"L",195,38.3
"404",14,"U",1,"R",195,25.3
"405",15,"U",2,"R",195,21.2
"406",16,"U",3,"R",195,19.1
"407",17,"U",4,"R",195,23.6
"408",18,"U",5,"R",195,19.6
"409",19,"U",6,"R",195,26.2
"410",20,"U",7,"R",195,26.5
"411",21,"T",8,"R",195,19.4
"412",22,"T",9,"R",195,20.2
"413",23,"T",10,"R",195,27.2
"414",24,"T",11,"R",195,33.9
"415",25,"T",12,"R",195,27.9
"416",26,"T",13,"R",195,34.3
"417",1,"U",1,"L",210,25.8
"418",2,"U",2,"L",210,27.2
"419",3,"U",3,"L",210,23
"420",4,"U",4,"L",210,31.2
"421",5,"U",5,"L",210,26.1
"422",6,"U",6,"L",210,26.9
"423",7,"U",7,"L",210,33.6
"424",8,"T",8,"L",210,26.2
"425",9,"T",9,"L",210,22.5
"426",10,"T",10,"L",210,29.7
"427",11,"T",11,"L",210,49.6
"428",12,"T",12,"L",210,34.1
"429",13,"T",13,"L",210,38.9
"430",14,"U",1,"R",210,22.7
"431",15,"U",2,"R",210,27.5
"432",16,"U",3,"R",210,23.8
"433",17,"U",4,"R",210,32.7
"434",18,"U",5,"R",210,23.1
"435",19,"U",6,"R",210,29.1
"436",20,"U",7,"R",210,34.2
"437",21,"T",8,"R",210,26.2
"438",22,"T",9,"R",210,22.3
"439",23,"T",10,"R",210,33
"440",24,"T",11,"R",210,43.2
"441",25,"T",12,"R",210,35.3
"442",26,"T",13,"R",210,30.5
"443",1,"U",1,"L",225,34.3
"444",2,"U",2,"L",225,33.9
"445",3,"U",3,"L",225,28.8
"446",4,"U",4,"L",225,36.5
"447",5,"U",5,"L",225,24.1
"448",6,"U",6,"L",225,32
"449",7,"U",7,"L",225,32.5
"450",8,"T",8,"L",225,31.2
"451",9,"T",9,"L",225,23.5
"452",10,"T",10,"L",225,33.9
"453",11,"T",11,"L",225,55.1
"454",12,"T",12,"L",225,35.8
"455",13,"T",13,"L",225,46.5
"456",14,"U",1,"R",225,35.9
"457",15,"U",2,"R",225,31.3
"458",16,"U",3,"R",225,28
"459",17,"U",4,"R",225,34.2
"460",18,"U",5,"R",225,24.8
"461",19,"U",6,"R",225,31.9
"462",20,"U",7,"R",225,32.9
"463",21,"T",8,"R",225,28.7
"464",22,"T",9,"R",225,21.1
"465",23,"T",10,"R",225,33.6
"466",24,"T",11,"R",225,63.3
"467",25,"T",12,"R",225,37.9
"468",26,"T",13,"R",225,52.1
"469",1,"U",1,"L",240,38.3
"470",2,"U",2,"L",240,31
"471",3,"U",3,"L",240,30.7
"472",4,"U",4,"L",240,41.6
"473",5,"U",5,"L",240,26.6
"474",6,"U",6,"L",240,35.5
"475",7,"U",7,"L",240,46
"476",8,"T",8,"L",240,36.5
"477",9,"T",9,"L",240,30.3
"478",10,"T",10,"L",240,44.8
"479",11,"T",11,"L",240,52.1
"480",12,"T",12,"L",240,48.7
"481",13,"T",13,"L",240,54.4
"482",14,"U",1,"R",240,35.3
"483",15,"U",2,"R",240,30.9
"484",16,"U",3,"R",240,28.8
"485",17,"U",4,"R",240,43.5
"486",18,"U",5,"R",240,27.6
"487",19,"U",6,"R",240,34.1
"488",20,"U",7,"R",240,49.4
"489",21,"T",8,"R",240,29.3
"490",22,"T",9,"R",240,25.7
"491",23,"T",10,"R",240,42.2
"492",24,"T",11,"R",240,49.3
"493",25,"T",12,"R",240,43.7
"494",26,"T",13,"R",240,55.5
"495",1,"U",1,"L",255,39.3
"496",2,"U",2,"L",255,35
"497",3,"U",3,"L",255,29.8
"498",4,"U",4,"L",255,48.2
"499",5,"U",5,"L",255,28.1
"500",6,"U",6,"L",255,34.1
"501",7,"U",7,"L",255,45.6
"502",8,"T",8,"L",255,38
"503",9,"T",9,"L",255,31
"504",10,"T",10,"L",255,42.3
"505",11,"T",11,"L",255,52.1
"506",12,"T",12,"L",255,49.1
"507",13,"T",13,"L",255,51.3
"508",14,"U",1,"R",255,40
"509",15,"U",2,"R",255,37.6
"510",16,"U",3,"R",255,30.9
"511",17,"U",4,"R",255,43.3
"512",18,"U",5,"R",255,29.4
"513",19,"U",6,"R",255,35.5
"514",20,"U",7,"R",255,41.8
"515",21,"T",8,"R",255,31.7
"516",22,"T",9,"R",255,31.2
"517",23,"T",10,"R",255,38.8
"518",24,"T",11,"R",255,69.2
"519",25,"T",12,"R",255,45.6
"520",26,"T",13,"R",255,56.7
"521",1,"U",1,"L",270,32.9
"522",2,"U",2,"L",270,37.5
"523",3,"U",3,"L",270,29.9
"524",4,"U",4,"L",270,55.7
"525",5,"U",5,"L",270,29.8
"526",6,"U",6,"L",270,34.4
"527",7,"U",7,"L",270,48.1
"528",8,"T",8,"L",270,28.1
"529",9,"T",9,"L",270,32.5
"530",10,"T",10,"L",270,44
"531",11,"T",11,"L",270,59.1
"532",12,"T",12,"L",270,40.2
"533",13,"T",13,"L",270,61.1
"534",14,"U",1,"R",270,32.5
"535",15,"U",2,"R",270,36.9
"536",16,"U",3,"R",270,31.2
"537",17,"U",4,"R",270,51.7
"538",18,"U",5,"R",270,30.1
"539",19,"U",6,"R",270,36.3
"540",20,"U",7,"R",270,48.9
"541",21,"T",8,"R",270,27.9
"542",22,"T",9,"R",270,34.7
"543",23,"T",10,"R",270,43.4
"544",24,"T",11,"R",270,67.4
"545",25,"T",12,"R",270,38.2
"546",26,"T",13,"R",270,51.1
